#rMax,signalType,configFile,date,year,lumi,config,inputmjj
5.0,gg,dijetSep,17June2023,2017C,8377.067561,CaloDijetSep2017C,CaloScoutingHT2017C_DatavsQDCMC_11June2023_2245
3.3,qg,dijetSep,17June2023,2017C,8377.067561,CaloDijetSep2017C,CaloScoutingHT2017C_DatavsQDCMC_11June2023_2245
1.7,qq,dijetSep,17June2023,2017C,8377.067561,CaloDijetSep2017C,CaloScoutingHT2017C_DatavsQDCMC_11June2023_2245

1.3,gg,dijetSep,17June2023,2017D,4247.682094,CaloDijetSep2017D,CaloScoutingHT2017D_DatavsQDCMC_11June2023_2245
5.0,qg,dijetSep,17June2023,2017D,4247.682094,CaloDijetSep2017D,CaloScoutingHT2017D_DatavsQDCMC_11June2023_2245
4.0,qq,dijetSep,17June2023,2017D,4247.682094,CaloDijetSep2017D,CaloScoutingHT2017D_DatavsQDCMC_11June2023_2245

4.9,gg,dijetSep,17June2023,2017E,9285.786621,CaloDijetSep2017E,CaloScoutingHT2017E_DatavsQDCMC_11June2023_2245
2.4,qg,dijetSep,17June2023,2017E,9285.786621,CaloDijetSep2017E,CaloScoutingHT2017E_DatavsQDCMC_11June2023_2245
4.3,qq,dijetSep,17June2023,2017E,9285.786621,CaloDijetSep2017E,CaloScoutingHT2017E_DatavsQDCMC_11June2023_2245

3.6,gg,dijetSep,17June2023,2017F,13539.378492,CaloDijetSep2017F,CaloScoutingHT2017F_DatavsQDCMC_11June2023_2245
5.6,qg,dijetSep,17June2023,2017F,13539.378492,CaloDijetSep2017F,CaloScoutingHT2017F_DatavsQDCMC_11June2023_2245
3.3,qq,dijetSep,17June2023,2017F,13539.378492,CaloDijetSep2017F,CaloScoutingHT2017F_DatavsQDCMC_11June2023_2245
